issue_url,repo_name,pull_request_url,languages,before_code_url,after_code_url,affected_files
https://github.com/facebook/react/issues/26876,facebook/react,https://github.com/facebook/react/pull/27443,"[""JavaScript"", ""TypeScript"", ""HTML"", ""CSS"", ""C++"", ""CoffeeScript"", ""C"", ""Shell"", ""Python"", ""Makefile""]",https://github.com/facebook/react/commit/a6ed60a8eb0626e5f84d0bdbb62c0b61219150d3,https://github.com/facebook/react/commit/6022257a83589c1002ab5fdbb2c763cddf425c19,"[""packages/react-dom-bindings/src/client/ReactDOMInput.js"", ""packages/react-dom/src/__tests__/ReactDOMComponent-test.js"", ""packages/react-dom/src/__tests__/ReactDOMInput-test.js""]"
https://github.com/TheAlgorithms/Python/issues/12268,TheAlgorithms/Python,https://github.com/TheAlgorithms/Python/pull/12269,"[""Python"", ""Shell"", ""Dockerfile""]",https://github.com/TheAlgorithms/Python/commit/fff34ed528a7c1af373aeae68693d67639ff616b,https://github.com/TheAlgorithms/Python/commit/7131af772538b30f524b11245889cf6de38d20e5,"[""data_structures/stacks/largest_rectangle_histogram.py""]"
https://github.com/TheAlgorithms/Python/issues/12151,TheAlgorithms/Python,https://github.com/TheAlgorithms/Python/pull/12493,"[""Python"", ""Shell"", ""Dockerfile""]",https://github.com/TheAlgorithms/Python/commit/12b1023a9d97ca19be761c10129cba5509c9b450,https://github.com/TheAlgorithms/Python/commit/f00a5f7673ee4f39da969116928517bb7ce04ae1,"[""graphics/butterfly_pattern.py""]"
https://github.com/TheAlgorithms/Python/issues/11502,TheAlgorithms/Python,https://github.com/TheAlgorithms/Python/pull/11510,"[""Python"", ""Shell"", ""Dockerfile""]",https://github.com/TheAlgorithms/Python/commit/ed1900f1b37234f25486cfb3223988b3295a5549,https://github.com/TheAlgorithms/Python/commit/dac0b02d17d2a701a6285eeff611a276c10cc85e,"[""data_structures/binary_tree/avl_tree.py""]"
https://github.com/ossu/computer-science/issues/1211,ossu/computer-science,https://github.com/ossu/computer-science/pull/1301,"[""HTML""]",https://github.com/ossu/computer-science/commit/b9357d42d4d3ff6df8648dd2ac965197f704512f,https://github.com/ossu/computer-science/commit/e3035915f695b7044c01671c7955d440e425fead,"[""FAQ.md""]"
https://github.com/ossu/computer-science/issues/1164,ossu/computer-science,https://github.com/ossu/computer-science/pull/1292,"[""HTML""]",https://github.com/ossu/computer-science/commit/04ef6b217d643bebafd1ddf7467a57e719f2ef52,https://github.com/ossu/computer-science/commit/bd0e5fcbcd43f6d0e09bac79d36b897eb874a72a,"[""README.md"", ""coursepages/intro-cs/README.md"", ""coursepages/intro-programming/README.md""]"
https://github.com/ossu/computer-science/issues/1089,ossu/computer-science,https://github.com/ossu/computer-science/pull/1212,"[""HTML""]",https://github.com/ossu/computer-science/commit/6aea5acf571c04883234654190be468c5b56f547,https://github.com/ossu/computer-science/commit/4c6f284886e7be7e236359cef8e8e6c5965f7b95,"[""README.md""]"
https://github.com/ohmyzsh/ohmyzsh/issues/13037,ohmyzsh/ohmyzsh,https://github.com/ohmyzsh/ohmyzsh/pull/13040,"[""Shell"", ""Python"", ""Makefile""]",https://github.com/ohmyzsh/ohmyzsh/commit/fa396ad7718af77e896472772bffd4a7e9110193,https://github.com/ohmyzsh/ohmyzsh/commit/53bd1f4d069afe6a9ef0b073c2f75fae75674a0a,"[""plugins/dnf/_dnf5""]"
https://github.com/ohmyzsh/ohmyzsh/issues/13032,ohmyzsh/ohmyzsh,https://github.com/ohmyzsh/ohmyzsh/pull/13042,"[""Shell"", ""Python"", ""Makefile""]",https://github.com/ohmyzsh/ohmyzsh/commit/a78d006faa022a5104b542d7dec5a3439e72046e,https://github.com/ohmyzsh/ohmyzsh/commit/3534a60dec15ac46f1f3098797ba10a10aa57c3a,"[""lib/cli.zsh"", ""tools/upgrade.sh""]"
https://github.com/ohmyzsh/ohmyzsh/issues/13009,ohmyzsh/ohmyzsh,https://github.com/ohmyzsh/ohmyzsh/pull/13010,"[""Shell"", ""Python"", ""Makefile""]",https://github.com/ohmyzsh/ohmyzsh/commit/1c2127727af0ac452292f844ee32306f12906d03,https://github.com/ohmyzsh/ohmyzsh/commit/125e019d2001f7b3cbe086fdebad46579f2ef0db,"[""plugins/conda/conda.plugin.zsh""]"
https://github.com/ohmyzsh/ohmyzsh/issues/12781,ohmyzsh/ohmyzsh,https://github.com/ohmyzsh/ohmyzsh/pull/12971,"[""Shell"", ""Python"", ""Makefile""]",https://github.com/ohmyzsh/ohmyzsh/commit/0e99f402cd5a335042559396ae300a7668bac933,https://github.com/ohmyzsh/ohmyzsh/commit/329869d1846e9f0d6ea9f924ffc7a0e45e5a11cc,"[""tools/check_for_upgrade.sh""]"
